"batter","game_year","stand","xbabip","xbscon","n"
"Corey Seager",2017,"L",0.327225130890052,0.630890052356021,382
"Corey Seager",2019,"L",0.292349726775956,0.587431693989071,366
"Cory Spangenberg",2015,"L",0.313636363636364,0.486363636363636,220
"Cory Spangenberg",2017,"L",0.328859060402685,0.546979865771812,298
"Curtis Granderson",2015,"L",0.285347043701799,0.637532133676093,389
"Curtis Granderson",2016,"L",0.227979274611399,0.606217616580311,386
"Curtis Granderson",2017,"L",0.21,0.633333333333333,300
"Curtis Granderson",2018,"L",0.289592760180996,0.601809954751131,221
"Dae-Ho Lee",2016,"R",0.27,0.56,200
"Dan Vogelbach",2019,"L",0.215547703180212,0.653710247349823,283
"Daniel Descalso",2017,"L",0.265217391304348,0.526086956521739,230
"Daniel Descalso",2018,"L",0.288288288288288,0.626126126126126,222
"Daniel Murphy",2015,"L",0.264563106796116,0.470873786407767,412
"Daniel Murphy",2016,"L",0.332547169811321,0.655660377358491,424
"Daniel Murphy",2017,"L",0.31615925058548,0.625292740046838,427
"Daniel Murphy",2018,"L",0.293893129770992,0.473282442748092,262
"Daniel Murphy",2019,"L",0.3,0.505882352941176,340
"Daniel Palka",2018,"L",0.268085106382979,0.736170212765957,235
"Danny Espinosa",2016,"L",0.251028806584362,0.506172839506173,243
"Danny Jansen",2019,"R",0.220472440944882,0.480314960629921,254
"Danny Santana",2019,"L",0.318407960199005,0.761194029850746,201
"Danny Valencia",2015,"R",0.319327731092437,0.634453781512605,238
"Danny Valencia",2016,"R",0.335384615384615,0.553846153846154,325
"Danny Valencia",2017,"R",0.3,0.546666666666667,300
"Dansby Swanson",2017,"R",0.29607250755287,0.447129909365559,331
"Dansby Swanson",2018,"R",0.276276276276276,0.537537537537538,333
"Dansby Swanson",2019,"R",0.281065088757396,0.541420118343195,338
"Darwin Barney",2016,"R",0.301980198019802,0.430693069306931,202
"Darwin Barney",2017,"R",0.257575757575758,0.397727272727273,264
"David Dahl",2019,"L",0.37246963562753,0.708502024291498,247
"David DeJesus",2015,"L",0.25,0.402777777777778,216
"David Fletcher",2018,"R",0.311203319502075,0.4149377593361,241
"David Fletcher",2019,"R",0.325910931174089,0.435222672064777,494
"David Freese",2015,"R",0.271777003484321,0.526132404181185,287
"David Freese",2016,"R",0.354243542435424,0.612546125461255,271
"David Freese",2017,"R",0.332191780821918,0.523972602739726,292
"David Murphy",2015,"L",0.281879194630872,0.476510067114094,298
"David Ortiz",2015,"L",0.249400479616307,0.693045563549161,417
"David Ortiz",2016,"L",0.276029055690073,0.721549636803874,413
"David Peralta",2015,"L",0.346820809248555,0.670520231213873,346
"David Peralta",2017,"L",0.313131313131313,0.547979797979798,396
"David Peralta",2018,"L",0.310173697270471,0.655086848635236,403
"David Peralta",2019,"L",0.32129963898917,0.574007220216607,277
"Dawel Lugo",2019,"R",0.27536231884058,0.473429951690821,207
"Dee Gordon",2015,"L",0.374233128834356,0.478527607361963,489
"Dee Gordon",2016,"L",0.317647058823529,0.407843137254902,255
"Dee Gordon",2017,"L",0.365570599613153,0.448742746615087,517
"Dee Gordon",2018,"L",0.295404814004376,0.393873085339168,457
"Dee Gordon",2019,"L",0.299342105263158,0.407894736842105,304
"Delino Deshields Jr.",2015,"R",0.333333333333333,0.483974358974359,312
"Delino Deshields Jr.",2017,"R",0.35546875,0.5078125,256
"Delino Deshields Jr.",2018,"R",0.256198347107438,0.347107438016529,242
"Delino Deshields Jr.",2019,"R",0.326693227091633,0.48207171314741,251
"Denard Span",2015,"L",0.318840579710145,0.478260869565217,207
"Denard Span",2016,"L",0.280898876404494,0.438202247191011,445
"Denard Span",2017,"L",0.286075949367089,0.50379746835443,395
"Denard Span",2018,"L",0.284431137724551,0.520958083832335,334
"Derek Dietrich",2016,"L",0.349593495934959,0.585365853658537,246
"Derek Dietrich",2017,"L",0.292592592592593,0.574074074074074,270
"Derek Dietrich",2018,"L",0.321637426900585,0.567251461988304,342
"Derek Norris",2015,"R",0.297142857142857,0.514285714285714,350
"Derek Norris",2016,"R",0.236842105263158,0.496240601503759,266
"Devon Travis",2016,"R",0.346534653465347,0.570957095709571,303
"Devon Travis",2018,"R",0.243346007604563,0.452471482889734,263
"Dexter Fowler",2015,"L",0.266025641025641,0.53525641025641,312
"Dexter Fowler",2016,"L",0.358490566037736,0.660377358490566,212
"Dexter Fowler",2017,"L",0.301435406698565,0.722488038277512,209
"Dexter Fowler",2019,"L",0.294605809128631,0.62655601659751,241
"Didi Gregorius",2015,"L",0.278195488721804,0.426065162907268,399
"Didi Gregorius",2016,"L",0.278396436525612,0.532293986636971,449
"Didi Gregorius",2017,"L",0.269585253456221,0.548387096774194,434
"Didi Gregorius",2018,"L",0.25062656641604,0.588972431077694,399
"Didi Gregorius",2019,"L",0.239316239316239,0.551282051282051,234
"DJ LeMahieu",2015,"R",0.36768149882904,0.496487119437939,427
"DJ LeMahieu",2016,"R",0.361419068736142,0.529933481152993,451
"DJ LeMahieu",2017,"R",0.348697394789579,0.478957915831663,499
"DJ LeMahieu",2018,"R",0.282758620689655,0.491954022988506,435
"DJ LeMahieu",2019,"R",0.334710743801653,0.621900826446281,484
"Domingo Santana",2017,"R",0.332298136645963,0.763975155279503,322
"Domingo Santana",2019,"R",0.337078651685393,0.685393258426966,267
"Dustin Pedroia",2015,"R",0.3125,0.523026315789474,304
"Dustin Pedroia",2016,"R",0.328031809145129,0.500994035785288,503
"Dustin Pedroia",2017,"R",0.323170731707317,0.454268292682927,328
"Dwight Smith Jr.",2019,"L",0.272030651340996,0.555555555555556,261
"Eddie Rosario",2015,"L",0.335504885993485,0.625407166123778,307
"Eddie Rosario",2016,"L",0.316742081447964,0.579185520361991,221
"Eddie Rosario",2017,"L",0.299019607843137,0.617647058823529,408
"Eddie Rosario",2018,"L",0.304038004750594,0.59144893111639,421
"Eddie Rosario",2019,"L",0.258849557522124,0.59070796460177,452
"Eduardo Escobar",2015,"L",0.296650717703349,0.511961722488038,209
"Eduardo Escobar",2017,"L",0.247524752475248,0.594059405940594,202
"Eduardo Escobar",2018,"L",0.278985507246377,0.670289855072464,276
"Eduardo Escobar",2019,"L",0.256716417910448,0.602985074626866,335
"Eduardo Nunez",2016,"R",0.313953488372093,0.516279069767442,430
"Eduardo Nunez",2017,"R",0.329842931937173,0.520942408376963,382
"Eduardo Nunez",2018,"R",0.289473684210526,0.468421052631579,380
"Edwin Encarnacion",2015,"R",0.253807106598985,0.66243654822335,394
"Edwin Encarnacion",2016,"R",0.252314814814815,0.699074074074074,432
"Edwin Encarnacion",2017,"R",0.251928020565553,0.660668380462725,389
"Edwin Encarnacion",2018,"R",0.25,0.623563218390805,348
"Edwin Encarnacion",2019,"R",0.226480836236934,0.700348432055749,287
"Elias Diaz",2019,"R",0.293617021276596,0.387234042553191,235
"Eloy Jimenez",2019,"R",0.284810126582278,0.705696202531646,316
"Elvis Andrus",2015,"R",0.291242362525458,0.417515274949084,491
"Elvis Andrus",2016,"R",0.316953316953317,0.486486486486487,407
"Elvis Andrus",2017,"R",0.320079522862823,0.552683896620278,503
"Elvis Andrus",2018,"R",0.296416938110749,0.452768729641694,307
"Elvis Andrus",2019,"R",0.299163179916318,0.47071129707113,478
"Ender Inciarte",2015,"L",0.328735632183908,0.459770114942529,435
"Ender Inciarte",2016,"L",0.329439252336449,0.441588785046729,428
"Ender Inciarte",2017,"L",0.335849056603774,0.473584905660377,530
"Ender Inciarte",2018,"L",0.279749478079332,0.438413361169102,479
"Enrique Hernandez",2017,"R",0.236453201970443,0.576354679802956,203
"Enrique Hernandez",2018,"R",0.243055555555556,0.569444444444444,288
"Enrique Hernandez",2019,"R",0.25503355704698,0.533557046979866,298
"Eric Hosmer",2015,"L",0.334065934065934,0.573626373626374,455
"Eric Hosmer",2016,"L",0.293302540415704,0.542725173210162,433
"Eric Hosmer",2017,"L",0.336263736263736,0.604395604395604,455
"Eric Hosmer",2018,"L",0.294520547945205,0.515981735159817,438
"Eric Hosmer",2019,"L",0.309633027522936,0.568807339449541,436
"Eric Sogard",2015,"L",0.279863481228669,0.351535836177474,293
"Eric Sogard",2017,"L",0.308457711442786,0.447761194029851,201
"Eric Sogard",2019,"L",0.300632911392405,0.54746835443038,316
"Eric Thames",2017,"L",0.27007299270073,0.773722627737226,274
"Eric Thames",2019,"L",0.298701298701299,0.796536796536797,231
"Erick Aybar",2015,"L",0.293956043956044,0.39010989010989,364
