"bin_all","n","single_prob","double_prob","triple_prob","home_run_prob","out_prob"
"18.12",3071,0.644741126668838,0.0100944317811788,0,0,0.345164441549984
"18.13",2777,0.499459848757652,0.0158444364422038,0.00144040331292762,0,0.483255311487216
"18.14",2148,0.293296089385475,0.0218808193668529,0.00418994413407821,0.000465549348230912,0.680167597765363
"18.15",1555,0.107395498392283,0.0270096463022508,0.00836012861736334,0,0.857234726688103
"18.16",1288,0.0388198757763975,0.0543478260869565,0.015527950310559,0,0.891304347826087
"18.17",1205,0.0149377593360996,0.126141078838174,0.0240663900414938,0,0.834854771784232
"18.18",777,0.00772200772200772,0.218790218790219,0.0604890604890605,0.105534105534106,0.607464607464608
"18.19",453,0.00441501103752759,0.1280353200883,0.0198675496688742,0.770419426048565,0.0772626931567329
"18.2",133,0.0150375939849624,0.0150375939849624,0,0.969924812030075,0
"18.21",13,0,0,0,1,0
"19.02",612,0.00326797385620915,0,0,0,0.996732026143791
"19.03",525,0.019047619047619,0.00380952380952381,0,0,0.977142857142857
"19.04",7878,0.0203097232800203,0.00152322924600152,0.000126935770500127,0,0.978040111703478
"19.05",13481,0.0327127067724946,7.41784734070173e-05,0,0,0.967213114754098
"19.06",17231,0.0215889965759387,0.000232139748128373,0,0,0.978178863675933
"19.07",4418,0.0631507469443187,0.000905387052965143,0,0.000226346763241286,0.935717519239475
"19.08",1313,0.172124904798172,0.00456968773800457,0,0,0.823305407463823
"19.09",806,0.403225806451613,0.00744416873449132,0,0,0.589330024813896
"19.1",976,0.565573770491803,0.014344262295082,0,0,0.420081967213115
"19.11",1599,0.619762351469669,0.0312695434646654,0.00125078173858662,0,0.347717323327079
"19.12",2200,0.571818181818182,0.0413636363636364,0.00136363636363636,0,0.385454545454545
"19.13",2257,0.447053610988037,0.0655737704918033,0.00575985821887461,0,0.481612760301285
"19.14",1927,0.240269849507006,0.0882200311364816,0.00726517903476907,0,0.664244940321744
"19.15",1533,0.102413568166993,0.108284409654273,0.0176125244618395,0,0.771689497716895
"19.16",1361,0.0168993387215283,0.14695077149155,0.0345334313005143,0,0.801616458486407
"19.17",1175,0.00936170212765958,0.211063829787234,0.051063829787234,0.00595744680851064,0.722553191489362
"19.18",755,0.00529801324503311,0.249006622516556,0.0993377483443709,0.234437086092715,0.411920529801324
"19.19",378,0,0.103174603174603,0.0343915343915344,0.82010582010582,0.0423280423280423
"19.2",101,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.97029702970297,0
"19.21",12,0.0833333333333333,0,0,0.916666666666667,0
"20.02",730,0,0,0,0,1
"20.03",770,0,0,0,0,1
"20.04",2624,0.0194359756097561,0.00304878048780488,0.00038109756097561,0,0.977134146341463
"20.05",8091,0.0273142998393276,0.00234828822148066,0.000123594116920035,0,0.970213817822272
"20.06",3234,0.0930735930735931,0.00401978973407545,0,0,0.902906617192331
"20.07",2763,0.126311979732175,0.000723850886717336,0,0,0.872964169381108
"20.08",1763,0.238230289279637,0.00170164492342598,0,0,0.760068065796937
"20.09",1402,0.543509272467903,0.00927246790299572,0.000713266761768902,0,0.446504992867332
"20.1",1621,0.62553979025293,0.00863664404688464,0,0,0.365823565700185
"20.11",1920,0.622395833333333,0.0151041666666667,0.00104166666666667,0,0.361458333333333
"20.12",1936,0.550103305785124,0.0418388429752066,0.0015495867768595,0,0.40650826446281
"20.13",1802,0.394561598224195,0.0810210876803552,0.0133185349611543,0,0.511098779134295
"20.14",1682,0.185493460166468,0.152199762187872,0.0231866825208086,0.000594530321046373,0.638525564803805
"20.15",1390,0.0561151079136691,0.202158273381295,0.0453237410071942,0,0.696402877697842
"20.16",1331,0.0187828700225394,0.2854996243426,0.0631104432757325,0,0.632607062359128
"20.17",1180,0.00677966101694915,0.333898305084746,0.0906779661016949,0.0347457627118644,0.533898305084746
"20.18",618,0.00323624595469256,0.26537216828479,0.087378640776699,0.459546925566343,0.184466019417476
"20.19",298,0,0.0704697986577181,0.0302013422818792,0.889261744966443,0.0100671140939597
"20.2",69,0.0144927536231884,0.0144927536231884,0,0.971014492753623,0
"20.21",10,0.1,0,0,0.9,0
"21.02",165,0.00606060606060606,0,0,0,0.993939393939394
"21.03",793,0.00126103404791929,0,0,0,0.998738965952081
"21.04",723,0.00276625172890733,0,0,0,0.997233748271093
"21.05",268,0.111940298507463,0.0970149253731343,0,0,0.791044776119403
"21.06",733,0.147339699863574,0.114597544338336,0.00409276944065484,0,0.733969986357435
"21.07",1320,0.302272727272727,0.0401515151515152,0.00303030303030303,0,0.654545454545455
"21.08",1690,0.530177514792899,0.0159763313609467,0,0,0.453846153846154
"21.09",2791,0.658903618774633,0.00716589036187746,0.000716589036187746,0,0.333213901827302
"21.1",3475,0.679136690647482,0.00517985611510791,0.00115107913669065,0,0.314532374100719
"21.11",3494,0.5870062965083,0.00715512306811677,0.00114481969089868,0,0.404693760732685
"21.12",2529,0.429023329379201,0.0181890075128509,0.00118623962040332,0,0.551601423487544
"21.13",1904,0.284663865546218,0.0572478991596639,0.00630252100840336,0,0.651785714285714
"21.14",1309,0.12681436210848,0.143621084797555,0.0236822001527884,0.000763941940412529,0.705118411000764
"21.15",1243,0.0257441673370877,0.255832662912309,0.0378117457763475,0,0.680611423974256
"21.16",1258,0.014308426073132,0.403815580286169,0.0906200317965024,0.00476947535771065,0.486486486486487
"21.17",947,0.00739176346356917,0.412882787750792,0.130939809926082,0.190073917634636,0.258711721224921
"21.18",514,0.00194552529182879,0.107003891050584,0.0700389105058366,0.787937743190661,0.0330739299610895
"21.19",198,0.00505050505050505,0.0404040404040404,0.00505050505050505,0.944444444444444,0.00505050505050505
"21.2",39,0,0,0,1,0
"21.21",3,0,0,0,1,0
"22.02",33,0,0,0,0,1
"22.03",123,0,0,0,0,1
"22.04",495,0,0.00404040404040404,0,0,0.995959595959596
"22.05",436,0.00229357798165138,0.00458715596330275,0,0,0.993119266055046
"22.06",211,0.213270142180095,0.23696682464455,0.018957345971564,0,0.530805687203792
"22.07",816,0.314950980392157,0.28921568627451,0.0294117647058824,0,0.366421568627451
"22.08",1661,0.537627934978928,0.0969295605057195,0.00541842263696568,0,0.360024081878387
"22.09",3214,0.665525824517735,0.0224019912881145,0.000622277535780958,0,0.31144990665837
"22.1",5345,0.649204864359214,0.0155285313376988,0.00243217960710945,0.000187090739008419,0.332647333956969
"22.11",4355,0.491389207807118,0.00551090700344432,0.00114810562571757,0,0.50195177956372
"22.12",2916,0.270576131687243,0.0113168724279835,0.00102880658436214,0,0.717078189300412
"22.13",1751,0.152484294688749,0.0314106225014278,0.00799543118218161,0,0.808109651627641
"22.14",1326,0.0663650075414781,0.0769230769230769,0.0165912518853695,0,0.840120663650075
"22.15",1171,0.0298889837745517,0.297181895815542,0.0546541417591802,0.00597779675491033,0.612297181895816
"22.16",1092,0.0119047619047619,0.451465201465201,0.0924908424908425,0.065018315018315,0.379120879120879
"22.17",671,0.0104321907600596,0.254843517138599,0.0789865871833085,0.581222056631893,0.0745156482861401
"22.18",425,0.00235294117647059,0.0447058823529412,0.0305882352941176,0.915294117647059,0.00705882352941176
"22.19",133,0,0.0300751879699248,0,0.969924812030075,0
"22.2",18,0,0,0,0.888888888888889,0.111111111111111
"22.21",3,0,0,0,1,0
"23.02",14,0,0,0,0,1
"23.03",22,0,0,0,0,1
"23.04",43,0,0,0,0,1
"23.05",131,0,0.0229007633587786,0,0,0.977099236641221
"23.06",279,0.014336917562724,0.03584229390681,0,0,0.949820788530466
"23.07",343,0.198250728862974,0.411078717201166,0.0291545189504373,0,0.361516034985423
"23.08",1365,0.318681318681319,0.328937728937729,0.0336996336996337,0,0.318681318681319
"23.09",2495,0.475751503006012,0.156713426853707,0.0124248496993988,0,0.355110220440882
"23.1",3825,0.510849673202614,0.0509803921568627,0.00470588235294118,0.000261437908496732,0.433202614379085
"23.11",3319,0.379632419403435,0.0262127146730943,0.00331425128050618,0.000301295570955107,0.59053931907201
"23.12",2082,0.160422670509126,0.0283381364073007,0.00384245917387128,0,0.807396733909702
"23.13",1397,0.0551181102362205,0.0429491768074445,0.0100214745884037,0,0.891911238367931
"23.14",1153,0.0277536860364267,0.131830008673027,0.013009540329575,0.00173460537727667,0.825672159583695
"23.15",1040,0.0307692307692308,0.2875,0.0355769230769231,0.0528846153846154,0.593269230769231
"23.16",659,0.0349013657056146,0.309559939301973,0.0682852807283763,0.364188163884674,0.223065250379363
"23.17",472,0,0.0656779661016949,0.0254237288135593,0.898305084745763,0.0105932203389831
"23.18",314,0,0.00318471337579618,0,0.996815286624204,0
"23.19",64,0,0,0,1,0
"23.2",8,0,0,0,1,0
"24.03",3,0,0,0,0,1
"24.04",2,0,0,0,0,1
"24.05",12,0,0,0,0,1
"24.06",77,0,0.038961038961039,0,0,0.961038961038961
"24.07",319,0.0188087774294671,0.0815047021943574,0.00313479623824451,0,0.896551724137931
"24.08",498,0.130522088353414,0.469879518072289,0.0381526104417671,0,0.36144578313253
"24.09",1621,0.202344231955583,0.43059839605182,0.0413325107958051,0,0.325724861196792
"24.1",2314,0.277441659464131,0.234226447709594,0.0220397579948142,0,0.466292134831461
"24.11",2224,0.206834532374101,0.133093525179856,0.00989208633093525,0,0.650179856115108
"24.12",1556,0.0803341902313625,0.0931876606683805,0.0122107969151671,0,0.81426735218509
"24.13",1341,0.0402684563758389,0.114093959731544,0.0119313944817301,0.00298284862043251,0.830723340790455
"24.14",1069,0.0374181478016838,0.190832553788587,0.0383536014967259,0.0561272217025257,0.677268475210477
"24.15",670,0.0373134328358209,0.211940298507463,0.0417910447761194,0.413432835820896,0.295522388059701
"24.16",590,0.011864406779661,0.0728813559322034,0.0101694915254237,0.886440677966102,0.0186440677966102
"24.17",357,0.00840336134453781,0.00560224089635854,0,0.983193277310924,0.00280112044817927
"24.18",133,0,0.0075187969924812,0,0.984962406015038,0.0075187969924812
"24.19",41,0,0,0,0.975609756097561,0.024390243902439
"24.2",9,0,0,0,1,0
"25.04",2,1,0,0,0,0
"25.05",2,0,0,0,0,1
"25.06",5,0.6,0,0,0,0.4
"25.07",31,0,0.129032258064516,0,0,0.870967741935484
"25.08",313,0.0255591054313099,0.108626198083067,0.00638977635782748,0,0.859424920127795
"25.09",419,0.0692124105011933,0.520286396181384,0.0405727923627685,0,0.369928400954654
"25.1",1514,0.0898282694848085,0.509247027741083,0.0647291941875826,0.000660501981505945,0.33553500660502
"25.11",1696,0.0689858490566038,0.421580188679245,0.0465801886792453,0,0.462853773584906
"25.12",1315,0.0562737642585551,0.292015209125475,0.0304182509505703,0.000760456273764259,0.620532319391635
"25.13",902,0.0709534368070953,0.222838137472284,0.0321507760532151,0.0587583148558758,0.61529933481153
"25.14",727,0.0343878954607978,0.181568088033012,0.0288858321870702,0.482806052269601,0.272352132049519
"25.15",577,0.00866551126516464,0.0797227036395147,0.00519930675909879,0.875216637781629,0.0311958405545927
"25.16",424,0,0.0141509433962264,0,0.985849056603774,0
"25.17",204,0.00490196078431373,0.00490196078431373,0,0.985294117647059,0.00490196078431373
"25.18",63,0,0,0,1,0
"25.19",12,0,0,0,0.916666666666667,0.0833333333333333
"25.2",2,0,0,0,1,0
"26.05",1,1,0,0,0,0
"26.06",1,0,0,0,0,1
"26.07",3,0.333333333333333,0.333333333333333,0.333333333333333,0,0
"26.08",24,0.0833333333333333,0.0416666666666667,0,0,0.875
"26.09",133,0.0075187969924812,0.225563909774436,0.0150375939849624,0,0.75187969924812
"26.1",489,0.0347648261758691,0.597137014314928,0.10838445807771,0.0102249488752556,0.249488752556237
"26.11",1519,0.0421329822251481,0.588545095457538,0.138248847926267,0.00592495062541146,0.225148123765635
"26.12",884,0.0452488687782805,0.441176470588235,0.0950226244343891,0.107466063348416,0.311085972850679
"26.13",694,0.0201729106628242,0.206051873198847,0.0475504322766571,0.540345821325648,0.185878962536023
"26.14",651,0.010752688172043,0.0660522273425499,0.0184331797235023,0.875576036866359,0.0291858678955453
